MUNICÍPIO,TOTAL_MORADORES,Local,Mortalidade Infantil,Taxa Mortalidade Infantil por 1000
MARTINÓPOLE,703,MARTINÓPOLE,5.26,7.48221906116643
CHAVAL,695,CHAVAL,13.25,19.06474820143885
MULUNGU,680,MULUNGU,8.62,12.676470588235292
VARJOTA,675,VARJOTA,3.86,5.718518518518518
PORANGA,672,PORANGA,15.87,23.616071428571427
QUIXELÔ,663,QUIXELÔ,16.95,25.565610859728505
MERUOCA,656,MERUOCA,5.75,8.765243902439025
BARROQUINHA,654,BARROQUINHA,4.78,7.308868501529052
CARIDADE,650,CARIDADE,15.38,23.661538461538463
FARIAS BRITO,644,FARIAS BRITO,46.15,71.66149068322981
PARAMOTI,632,PARAMOTI,8.26,13.069620253164556
IPUEIRAS,630,IPUEIRAS,8.85,14.047619047619047
PALMÁCIA,628,PALMÁCIA,12.2,19.426751592356688
INDEPENDÊNCIA,627,INDEPENDÊNCIA,23.73,37.846889952153106
HORIZONTE,625,HORIZONTE,13.35,21.36
MILHÃ,613,MILHÃ,,
PEREIRO,604,PEREIRO,22.47,37.20198675496689
AURORA,586,AURORA,16.61,28.34470989761092
CRUZ,579,CRUZ,18.26,31.537132987910194
COREAÚ,577,COREAÚ,7.52,13.032928942807624
GUAIÚBA,571,GUAIÚBA,11.63,20.367775831873907
AIUABA,570,AIUABA,18.4,32.280701754385966
CEDRO,561,CEDRO,26.52,47.27272727272727
IBARETAMA,551,IBARETAMA,12.12,21.996370235934663
ASSARÉ,549,ASSARÉ,7.72,14.061930783242257
CHORÓ,546,CHORÓ,20.41,37.38095238095238
ITAITINGA,546,ITAITINGA,10.2,18.681318681318682
QUIXERÉ,542,QUIXERÉ,7.52,13.874538745387454
PIQUET CARNEIRO,532,PIQUET CARNEIRO,27.59,51.860902255639104
PACOTI,528,PACOTI,8.13,15.397727272727275
SÃO LUÍS DO CURU,526,SÃO LUÍS DO CURU,27.03,51.38783269961977
FORQUILHA,523,FORQUILHA,,
MORAÚJO,518,MORAÚJO,17.54,33.86100386100386
EUSÉBIO,512,EUSÉBIO,7.26,14.1796875
ALTO SANTO,510,ALTO SANTO,5.62,11.019607843137255
CARIRÉ,504,CARIRÉ,4.81,9.543650793650793
ICAPUÍ,503,ICAPUÍ,19.9,39.56262425447316
SOLONÓPOLE,497,SOLONÓPOLE,11.83,23.802816901408452
ACARAPE,495,ACARAPE,10.87,21.95959595959596
BANABUIÚ,484,BANABUIÚ,4.93,10.185950413223141
IBIAPINA,472,IBIAPINA,5.21,11.038135593220339
CROATÁ,460,CROATÁ,14.29,31.065217391304344
POTENGI,446,POTENGI,9.71,21.771300448430495
HIDROLÂNDIA,442,HIDROLÂNDIA,17.32,39.18552036199095
JAGUARIBARA,441,JAGUARIBARA,8.2,18.594104308390023
BARREIRA,436,BARREIRA,7.55,17.316513761467892
CAPISTRANO,421,CAPISTRANO,17.09,40.59382422802851
SENADOR SÁ,415,SENADOR SÁ,,
CARIÚS,407,CARIÚS,,
UMARI,406,UMARI,,
TARRAFAS,405,TARRAFAS,12.82,31.65432098765432
PALHANO,389,PALHANO,20.41,52.46786632390746
MUCAMBO,387,MUCAMBO,5.38,13.901808785529715
ARATUBA,387,ARATUBA,27.78,71.78294573643412
PIRES FERREIRA,381,PIRES FERREIRA,9.09,23.858267716535433
CHOROZINHO,377,CHOROZINHO,31.58,83.76657824933686
BARRO,363,BARRO,19.32,53.223140495867774
CARIRIAÇU,345,CARIRIAÇU,7.83,22.695652173913043
JATI,335,JATI,,
IPAUMIRIM,305,IPAUMIRIM,25.0,81.96721311475409
FORTIM,277,FORTIM,18.69,67.47292418772562
CARNAUBAL,275,CARNAUBAL,12.61,45.85454545454545
CATARINA,272,CATARINA,15.75,57.904411764705884
GRAÇA,259,GRAÇA,6.85,26.447876447876446
IRACEMA,257,IRACEMA,7.41,28.832684824902724
PACUJÁ,255,PACUJÁ,,
CATUNDA,255,CATUNDA,20.0,78.43137254901961
POTIRETAMA,249,POTIRETAMA,25.64,102.9718875502008
IBICUITINGA,247,IBICUITINGA,8.77,35.50607287449393
GENERAL SAMPAIO,242,GENERAL SAMPAIO,31.25,129.13223140495867
ABAIARA,231,ABAIARA,6.71,29.047619047619047
IPAPORANGA,224,IPAPORANGA,22.56,100.71428571428571
APUIARÉS,219,APUIARÉS,14.39,65.70776255707763
FRECHEIRINHA,212,FRECHEIRINHA,8.62,40.660377358490564
ALCÂNTARAS,211,ALCÂNTARAS,,
ARARENDÁ,206,ARARENDÁ,19.61,95.19417475728154
ALTANEIRA,205,ALTANEIRA,16.67,81.3170731707317
ANTONINA DO NORTE,192,ANTONINA DO NORTE,,
GROAÍRAS,168,GROAÍRAS,,
ARNEIROZ,163,ARNEIROZ,,
BAIXIO,146,BAIXIO,,
GUARAMIRANGA,134,GUARAMIRANGA,13.51,100.82089552238806
ITAIÇABA,114,ITAIÇABA,14.71,129.03508771929825
SÃO JOÃO DO JAGUARIBE,111,SÃO JOÃO DO JAGUARIBE,55.56,500.5405405405405
GRANJEIRO,96,GRANJEIRO,,
DEPUTADO IRAPUAN PINHEIRO,88,DEPUTADO IRAPUAN PINHEIRO,,
ERERÊ,39,,,
